   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	 marker	   RESP
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	  (bpm)	   (mV)	   (mV)
          0.000	 -0.036	  0.166	  1.375	  4.994	 77.000	 11.160	 38.330
          0.067	  0.099	  0.166	  1.375	  4.993	 85.000	 11.160	 38.390
          0.133	  0.080	  0.186	  1.375	  4.992	 85.000	 11.160	 38.450
          0.200	 -0.088	  0.186	  1.375	  4.990	 85.000	 11.160	 38.470
          0.267	 -0.079	  0.207	  1.375	  4.988	 85.000	 11.160	 38.480
          0.333	 -0.076	  0.186	  1.372	  4.987	 85.000	 11.160	 38.420
          0.400	 -0.020	  0.186	  1.372	  4.984	 85.000	 11.160	 38.350
          0.467	 -0.092	  0.166	  1.372	  4.982	 85.000	 11.160	 38.300
          0.533	  0.276	  0.373	  1.372	  4.982	 85.000	 11.160	 38.260
          0.600	 -0.091	  0.228	  1.372	  4.980	 85.000	 11.160	 38.240
          0.667	 -0.071	  0.145	  1.372	  4.979	 85.000	 11.160	 38.200
          0.733	  0.000	  0.186	  1.372	  4.977	 86.000	 11.170	 38.180
          0.800	  0.144	  0.124	  1.372	  4.975	 86.000	 11.160	 38.150
          0.867	 -0.002	  0.145	  1.372	  4.973	 86.000	 11.160	 38.140
          0.933	 -0.093	  0.145	  1.372	  4.972	 86.000	 11.160	 38.140
          1.000	 -0.077	  0.228	  1.372	  4.969	 86.000	 11.160	 38.110
          1.067	 -0.082	  0.145	  1.371	  4.968	 86.000	 11.160	 38.030
          1.133	 -0.020	  0.166	  1.371	  4.967	 86.000	 11.160	 37.960
          1.200	 -0.100	  0.207	  1.370	  4.964	 86.000	 11.160	 37.920
          1.267	  0.300	  0.394	  1.370	  4.963	 86.000	 11.160	 37.900
          1.333	 -0.110	  0.186	  1.370	  4.962	 86.000	 11.160	 37.870
          1.400	 -0.074	  0.145	  1.370	  4.960	 86.000	 11.160	 37.830
          1.467	  0.002	  0.145	  1.370	  4.958	 85.000	 11.160	 37.780
          1.533	  0.143	  0.166	  1.370	  4.957	 85.000	 11.160	 37.750
          1.600	 -0.019	  0.145	  1.370	  4.957	 85.000	 11.160	 37.710
          1.667	 -0.092	  0.186	  1.370	  4.954	 85.000	 11.160	 37.670
          1.733	 -0.077	  0.207	  1.368	  4.952	 85.000	 11.160	 37.600
          1.800	 -0.084	  0.228	  1.367	  4.951	 85.000	 11.160	 37.490
          1.867	 -0.063	  0.207	  1.367	  4.950	 85.000	 11.160	 37.390
          1.933	 -0.030	  0.145	  1.367	  4.947	 85.000	 11.160	 37.300
          2.000	 -0.112	  0.207	  1.367	  4.946	 85.000	 11.160	 37.250
          2.067	  0.327	  0.539	  1.367	  4.943	 85.000	 11.170	 37.210
          2.133	 -0.086	  0.228	  1.367	  4.942	 85.000	 11.170	 37.170
          2.200	 -0.045	  0.145	  1.367	  4.941	 85.000	 11.160	 37.140
