   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	 marker	   RESP
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	  (bpm)	   (mV)	   (mV)
          0.000	 -0.009	  0.497	 17.997	 17.997	 70.000	 15.860	 50.000
          0.065	 -0.026	  0.104	 18.026	 18.019	 70.000	 10.220	 50.040
          0.129	  0.219	  0.435	 17.982	 17.984	 70.000	 10.170	 49.980
          0.194	  0.159	  0.373	 17.896	 17.925	 70.000	 10.150	 49.880
          0.258	  0.065	  0.083	 17.923	 17.972	 70.000	 10.190	 49.900
          0.323	  0.169	  0.083	  6.780	  9.455	 70.000	 10.190	 36.240
          0.387	  0.344	  0.104	  6.163	  8.959	 70.000	 10.170	 35.510
          0.452	  0.238	  0.083	  5.955	  8.829	 70.000	 10.180	 35.240
          0.516	  0.109	  0.104	  5.855	  8.796	 70.000	 10.180	 35.200
          0.581	  0.096	  0.166	  5.802	  8.810	 70.000	 10.170	 35.290
          0.645	  0.053	  0.124	  5.742	  8.800	 70.000	 10.180	 35.330
          0.710	  0.000	  0.145	  5.710	  8.790	 70.000	 10.180	 35.310
          0.774	 -0.039	  0.124	  5.676	  8.780	 70.000	 10.170	 35.230
          0.839	 -0.064	  0.145	  5.667	  8.769	 70.000	 10.170	 35.090
          0.903	 -0.061	  0.186	  5.651	  8.756	 70.000	 10.170	 34.980
          0.968	 -0.158	  0.207	  5.622	  8.743	 70.000	 10.170	 34.860
          1.032	  0.259	  0.477	  5.588	  8.732	 70.000	 10.170	 34.800
          1.097	 -0.155	  0.124	  5.554	  8.719	 70.000	 10.170	 34.800
          1.161	 -0.127	  0.166	  5.516	  8.708	 70.000	 10.170	 34.900
          1.226	 -0.003	  0.186	  5.497	  8.698	 69.000	 10.170	 35.030
          1.290	  0.000	  0.166	  5.479	  8.685	 69.000	 10.170	 35.200
          1.355	 -0.194	  0.145	  5.460	  8.675	 69.000	 10.170	 35.430
          1.419	 -0.206	  0.145	  5.439	  8.663	 69.000	 10.170	 35.630
          1.484	 -0.204	  0.124	  5.432	  8.653	 69.000	 10.170	 35.750
          1.548	 -0.211	  0.186	  5.424	  8.642	 69.000	 10.170	 35.880
          1.613	 -0.180	  0.166	  5.414	  8.631	 69.000	 10.170	 36.120
          1.677	 -0.244	  0.124	  5.406	  8.620	 69.000	 10.170	 36.320
          1.742	 -0.207	  0.331	  5.398	  8.608	 69.000	 10.170	 36.480
          1.806	 -0.210	  0.186	  5.389	  8.598	 69.000	 10.170	 36.590
          1.871	 -0.171	  0.166	  5.383	  8.588	 69.000	 10.170	 36.640
          1.935	 -0.043	  0.124	  5.378	  8.578	 69.000	 10.170	 36.660
          2.000	 -0.006	  0.104	  5.373	  8.569	 69.000	 10.170	 36.660
          2.065	 -0.203	  0.104	  5.364	  8.559	 69.000	 10.170	 36.590
          2.129	 -0.210	  0.124	  5.363	  8.559	 69.000	 10.170	 36.590
          2.194	 -0.197	  0.124	  5.354	  8.561	 69.000	 10.170	 36.510
          2.258	 -0.205	  0.124	  5.347	  8.577	 69.000	 10.170	 36.410
          2.323	 -0.165	  0.104	  5.342	  8.609	 69.000	 10.170	 36.340
          2.387	 -0.219	  0.145	  5.334	  8.657	 69.000	 10.170	 36.280
          2.452	  0.195	  0.456	  5.328	  8.722	 69.000	 10.170	 36.220
          2.516	 -0.190	  0.186	  5.327	  8.805	 69.000	 10.170	 36.150
          2.581	 -0.147	  0.124	  5.325	  8.903	 69.000	 10.170	 36.090
          2.645	 -0.026	  0.124	  5.327	  9.018	 69.000	 10.170	 36.030
          2.710	  0.050	  0.145	  5.332	  9.144	 69.000	 10.170	 35.980
          2.774	 -0.149	  0.104	  5.339	  9.284	 69.000	 10.170	 35.920
